geneid	chr	s1	s2	strand
DDX11L1	chr1	11869	14409	1
WASH7P	chr1	14404	29570	-1
MIR6859-1	chr1	17369	17436	-1
MIR1302-2HG	chr1	29554	31109	1
MIR1302-2	chr1	30366	30503	1
FAM138A	chr1	34554	36081	-1
OR4G4P	chr1	52473	53312	1
OR4G11P	chr1	57598	64116	1
OR4F5	chr1	65419	71585	1
AL627309.1	chr1	89295	133723	-1
AL627309.3	chr1	89551	91105	-1
CICP27	chr1	131025	134836	1
AL627309.6	chr1	135141	135895	-1
AL627309.7	chr1	137682	137965	-1
AL627309.2	chr1	139790	140339	-1
AL627309.5	chr1	141474	173862	-1
RNU6-1100P	chr1	157784	157887	-1
AL627309.4	chr1	160446	161525	1
FO538757.1	chr1	182696	184174	1
WASH9P	chr1	185217	195411	-1
MIR6859-2	chr1	187891	187958	-1
AP006222.1	chr1	257864	359681	-1
AP006222.2	chr1	266855	268655	1
RPL23AP24	chr1	347982	348366	-1
AL732372.1	chr1	358857	366052	1
AL732372.2	chr1	365389	522928	-1
WBP1LP7	chr1	439870	440232	1
OR4F29	chr1	450703	451697	-1
CICP7	chr1	487101	489906	1
AL732372.3	chr1	491225	493241	-1
FO681485.1	chr1	516376	516479	-1
AL669831.3	chr1	586071	827796	-1
AC114498.1	chr1	587629	594768	1
MTND1P23	chr1	629062	629433	1
MTND2P28	chr1	629640	630683	1
MTCO1P12	chr1	631074	632616	1
AC114498.2	chr1	632325	632413	-1
MTCO2P12	chr1	632757	633438	1
MTATP8P1	chr1	633535	633741	1
MTATP6P1	chr1	633696	634376	1
MTCO3P12	chr1	634376	634922	1
WBP1LP6	chr1	674842	675265	1
OR4F16	chr1	685679	686673	-1
CICP3	chr1	722092	724903	1
AL669831.1	chr1	725885	778626	-1
RNU6-1199P	chr1	758233	758336	-1
AL669831.2	chr1	760911	761989	1
LINC01409	chr1	778747	810065	1
AL669831.6	chr1	781937	782050	1
AL669831.4	chr1	800879	817712	-1
FAM87B	chr1	817371	819837	1
LINC01128	chr1	825138	859446	1
LINC00115	chr1	826206	827522	-1
AL669831.7	chr1	860226	868202	1
FAM41C	chr1	868071	876903	-1
TUBB8P11	chr1	873292	874349	1
AL669831.5	chr1	874529	877234	-1
AL645608.6	chr1	904834	915976	1
AL645608.2	chr1	911435	914948	1
AL645608.4	chr1	914171	914971	1
LINC02593	chr1	916865	921016	-1
SAMD11	chr1	923928	944581	1
NOC2L	chr1	944203	959309	-1
KLHL17	chr1	960584	965719	1
PLEKHN1	chr1	966482	975865	1
PERM1	chr1	975204	982093	-1
AL645608.7	chr1	995966	998051	-1
HES4	chr1	998962	1000172	-1
ISG15	chr1	1001138	1014540	1
AL645608.3	chr1	1008076	1008229	-1
AL645608.1	chr1	1011997	1013193	-1
AGRN	chr1	1020120	1056118	1
AL645608.5	chr1	1055033	1056116	1
AL390719.1	chr1	1059708	1069355	1
AL645608.8	chr1	1062208	1063288	-1
RNF223	chr1	1070967	1074306	-1
C1orf159	chr1	1081818	1116361	-1
AL390719.3	chr1	1097585	1104598	1
LINC01342	chr1	1137017	1144056	1
MIR200B	chr1	1167104	1167198	1
MIR200A	chr1	1167863	1167952	1
MIR429	chr1	1169005	1169087	1
AL390719.2	chr1	1169357	1170343	1
TTLL10-AS1	chr1	1173056	1179555	-1
TTLL10	chr1	1173880	1197936	1
TNFRSF18	chr1	1203508	1206592	-1
TNFRSF4	chr1	1211340	1214153	-1
SDF4	chr1	1216908	1232067	-1
B3GALT6	chr1	1232237	1235041	1
C1QTNF12	chr1	1242446	1246722	-1
AL162741.1	chr1	1249777	1251334	-1
UBE2J2	chr1	1253909	1273864	-1
LINC01786	chr1	1275223	1280420	1
SCNN1D	chr1	1280436	1292029	1
ACAP3	chr1	1292390	1309609	-1
MIR6726	chr1	1296110	1296170	-1
PUSL1	chr1	1308597	1311677	1
INTS11	chr1	1311585	1324687	-1
MIR6727	chr1	1312502	1312566	-1
AL139287.1	chr1	1317581	1318689	-1
CPTP	chr1	1324756	1328896	1
TAS1R3	chr1	1331280	1335314	1
DVL1	chr1	1335276	1349418	-1
MIR6808	chr1	1339650	1339708	-1
MXRA8	chr1	1352689	1361777	-1
AURKAIP1	chr1	1373730	1375495	-1
NDUFB4P8	chr1	1378666	1379032	1
CCNL2	chr1	1385711	1399335	-1
MRPL20-AS1	chr1	1399520	1402046	1
MRPL20	chr1	1401909	1407293	-1
RN7SL657P	chr1	1405460	1405752	-1
AL391244.2	chr1	1409096	1410618	1
ANKRD65	chr1	1418420	1421769	-1
AL391244.1	chr1	1420245	1422691	1
TMEM88B	chr1	1426128	1427787	1
